;Codigo_org;idOrg;Organismo;Codigo_padre;Padre_org;Region;Municipalidad;direccion;telefono;url_organismo;url_orgtransparencia;horario_publico;nombre_encargado;email;num_cuenta;rut;tipo_cuenta;banco;url_sai;fax;Ingresa;obligadorecibir_sai;organismo_autonomo;interopera;tiene_ta;fecha_ta
178;EP025;1101;Sistema de Empresas Públicas (SEP);EP000;Empresas y Sociedades;Región Metropolitana de Santiago;SANTIAGO;MONJITAS 392 PISO 12  SANTIAGO;(2) 3476300;http://www.sepchile.cl;http://www.sepchile.cl/transparencia/index.html;;;contacto@sepchile.cl;;;;;http://www.sepchile.cl/formulario-transparencia/;;No ingresa;SÍ;NO;NO;NO;
179;AK004;1021;Servicio Nacional de Menores (SENAME);AK000;Justicia;Región Metropolitana de Santiago;SANTIAGO;Huérfanos N 587;23984374;http://www.sename.cl/wsename/index.php;http://www.sename.cl/tactiva/index.html;Lunes a Jueves: 9.00 a 18.00 Viernes: 9.00 a 17.00;CARLOS NAVARRO;transparencia@sename.cl;;;;;http://sename.transparencia.cl/tramites/disponibles;;Ingresa;SÍ;NO;NO;SÍ;2018/02/14
180;AM008;1041;Dirección de Obras Portuarias (DOP);AM000;Obras Públicas;Región Metropolitana de Santiago;SANTIAGO;Morandé 59;56 2 2449 4722;http://www.dop.cl;http://transparencia.dop.cl/;Lunes a Jueves de 9 a 17.30 horas y Viernes de 9 a 16.30 horas;IRENE CARVAJAL;dop.atencionciudadana@mop.gov.cl;;;;;http://www.mop.cl/atencion;;Ingresa;SÍ;NO;SÍ;SÍ;2018/09/14
181;NR007;56650;Tribunal Constitucional (TC);NRTRC;Tribunal Constitucional;Región Metropolitana de Santiago;SANTIAGO;Huérfanos 1234;(562) 2721 9200;http://www.tribunalconstitucional.cl/;http://www.tribunalconstitucional.cl/;Secretaría: de Lunes a Viernes 09:00  14:00 hrs;Mónica Sánchez Abarca;transparencia@tcchile.cl;;;;;http://www.tribunalconstitucional.cl/;(562) 2721 9303;Ingresa;SÍ;SÍ;NO;NO;
182;AF001;995;Subsecretaría General de La Presidencia (SEGPRES);AF000;Secretaría General de la Presidencia;Región Metropolitana de Santiago;SANTIAGO;Moneda 1160 entrepiso. Santiago.;226945855;http://www.minsegpres.gob.cl/;http://transparencia.minsegpres.gob.cl/;Lunes a jueves 09:00 a 17:00 horas y viernes 09:00 a 16:00 horas;;respuestasgs@minsegpres.cl;;;;;http://minsegpres.transparencia.cl/tramites/disponibles;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
183;EP004;1093;Empresa Concesionaria de Servicios Sanitarios (ECONSSA);EP000;Empresas y Sociedades;Región Metropolitana de Santiago;SANTIAGO;MONJITAS 392 PISO 10 OFICINA 1003  SANTIAGO;(2) 27332700;http://www.econssachile.cl;http://www.econssachile.cl/index.php/ley;;;;;;;;http://;;No ingresa;NO;NO;NO;NO;
184;EP009;1097;Empresa Nacional de Minería (ENAMI);EP000;Empresas y Sociedades;Región Metropolitana de Santiago;SANTIAGO;ENRIQUE MAC IVER 459  SANTIAGO;(2) 633 0718;http://www.enami.cl;http://www.enami.cl/gobierno-transparente.html;;;;;;;;http://;;No ingresa;NO;NO;NO;NO;
185;AE006;990;Servicio de Impuestos Internos (SII);AE000;Hacienda;Región Metropolitana de Santiago;SANTIAGO;Teatinos 120;+56 2 23951720;http://home.sii.cl/;http://www.sii.gob.cl/transparencia/;Lunes a viernes de 9:00 a 14:00 hrs.;Carolina Gonzalez;administrador_central_sasi@sii.cl;;;;;http://www.sii.cl/estadisticas/pagina_previa.htm;;No ingresa;SÍ;NO;NO;SÍ;
186;AD023;55950;Estado Mayor Conjunto (EMCO);AD000;Defensa Nacional;Región Metropolitana de Santiago;SANTIAGO;Portada de Guías N 1187 entre piso Santiago Centro. Metro Universidad de Chile;(562) 23465026  223465224;http://www.emco.mil.cl/;http://www.emco.mil.cl/transparencia/;Lunes a viernes de 08:30 a 13:00 y de 14:30 a 17:30 horas. Viernes hasta las 16:30 hrs.;Pedro Villarroel Román;oficinainformacion@emco.mil.cl;;;Cuenta Corriente;Bancoestado;http://www.emco.mil.cl/transparencia/sit.html;;Ingresa;SÍ;NO;NO;SÍ;2018/06/27
187;AW003;1070;Superintendencia del Medio Ambiente (SMA);AW000;Medio Ambiente;Región Metropolitana de Santiago;SANTIAGO;Teatinos 280 piso 8 y 9;56 2 2617 1860;http://www.sma.gob.cl/;http://www.sma.gob.cl/transparencia/index.html;De lunes a viernes de 9.00 a 13.00 hrs;Fernando Vera Oetiiker;contacto.sma@sma.gob.cl;;;;;http://sgs.sma.gob.cl/;;Ingresa;SÍ;NO;NO;SÍ;2020/01/15
188;EP005;1094;Empresa de Abastecimiento de Zonas Aisladas (EMAZA);EP000;Empresas y Sociedades;Región Metropolitana de Santiago;SANTIAGO;AV LIBERTADOR BERNARDO OHIGGINS 1449  SANTIAGO;(2) 473 38 23;http://www.emaza.cl;http://www.emaza.cl/index.php?mod=19;;;;;;;;http://;;No ingresa;NO;NO;NO;NO;
189;AR005;1061;Oficinas de Estudios y Políticas Agrarias (ODEPA);AR000;Agricultura;Región Metropolitana de Santiago;SANTIAGO;TEATINOS 40;56 2 2397 3034;http://www.odepa.gob.cl;http://www.odepa.gob.cl/transparencia/;Lunes a jueves 08:45 horas. a 17:45 horas viernes de 08:45 a 16:45 horas;LAURA OLEA;lolea@odepa.gob.cl;;;;;http://www.odepa.gob.cl/transparencia/;;Ingresa;SÍ;NO;NO;SÍ;2018/06/14
190;EP003;1092;Corporación Nacional del Cobre de Chile (CODELCO);EP000;Empresas y Sociedades;Región Metropolitana de Santiago;SANTIAGO;HUERFANOS 1270  SANTIAGO;(2) 252 6119;http://www.codelco.com;https://www.codelco.com/transparencia/prontus_codelco/2016-02-17/144158.html;;;;;;;;http://;;No ingresa;NO;NO;NO;NO;
191;AR009;330301;Fundación de Comunicación Capacitación y Cultura del Agro (FUCOA);AR000;Agricultura;Región Metropolitana de Santiago;SANTIAGO;Teatinos 40 piso 5;225101500;http://www.fucoa.cl;http://https://www.fucoa.cl/gobierno_transparente/ejecucion_presupuestaria.html;09:00 Am hasta 18:00 Pm;;transparencia@fucoa.cl;;;;;https://www.fucoa.cl/contacto/;;No ingresa;SÍ;NO;NO;SÍ;
192;AM003;1038;Dirección de Contabilidad y Finanzas (DCYF);AM000;Obras Públicas;Región Metropolitana de Santiago;SANTIAGO;Morandé 59;56 2 2449 4199;http://www.dcyf.cl/;http://transparencia.dcyf.cl/;Lunes a Jueves de 9 a 16 horas y Viernes de 9 a 14 horas;Claudia Romero;dcyf.atencionciudadana@mop.gov.cl;;;;;http://www.mop.cl/atencion;;Ingresa;SÍ;NO;SÍ;SÍ;2018/10/17
193;EP023;1115;METRO S.A.;EP000;Empresas y Sociedades;Región Metropolitana de Santiago;SANTIAGO;AV. LIBERTADOR BERNARDO OHIGGINS 1414  SANTIAGO;(2) 937 2000;http://www.metrosantiago.cl;http://www.metrosantiago.cl/corporativo;;;;;;;;http://;;No ingresa;NO;NO;NO;NO;
194;AH014;984;Tribunal de Propiedad Industrial (TDPI);AH000;Economía Fomento y Turismo;Región Metropolitana de Santiago;SANTIAGO;Nueva York 9 Piso 13;56 2 636 9876  56 2 696 5475  56 2 696 4358;http://www.tdpi.cl;http://transparencia.economia.cl/tdpi/;;;;;;;;http://transparencia.economia.cl/tdpi/;;No ingresa;SÍ;NO;NO;NO;
195;AJ007;848;Consejo de Calificación Cinematográfica;AJ000;Educación;Región Metropolitana de Santiago;SANTIAGO;Av. Libertador Bernardo OHiggins 1371;56 2 2406 7026;http://www.mineduc.cl/index.php?id_portal=75;http://www.mineduc.cl/transparencia/consejo/index.html;Martes a jueves de 08:45 am a 17:45 hrs;LUIS MORA;luis.mora@mineduc.cl;;;;;https://crm.ayudamineduc.cl/Consultas/LeyTransparencia;;No ingresa;SÍ;NO;NO;NO;
196;AI006;1011;Servicio Nacional del Adulto Mayor (SENAMA);AI000;Desarrollo Social;Región Metropolitana de Santiago;SANTIAGO;Catedral N 1575;225853500;http://www.senama.cl/;http://www2.senama.cl/transparencia/index.html;No se realiza atención de publico en las oficinas centrales;TANIA MORA;transparenciaactiva@senama.cl;;;Cuenta Corriente;Bancoestado;http://senama.transparencia.cl/tramites/disponibles;;Ingresa;SÍ;NO;NO;SÍ;2018/06/18
197;AM014;328150;Dirección General de Concesiones de Obras Públicas (DGC);AM000;Obras Públicas;Región Metropolitana de Santiago;SANTIAGO;Merced N 753;(56+2) 2449 4000;http://www.concesiones.cl;http://transparencia.dgop.cl/index.html;Lunes a Jueves de 9 a 17 horas y Viernes de 9 a 16 horas;CARLOS ACEVEDO;ccop.atencionciudadana@mop.gov.cl;;;;;https://siac.mop.gov.cl/Atencion/ingresoCiudadano.do;;Ingresa;SÍ;NO;SÍ;SÍ;2018/09/14
198;BB001;326450;Subsecretaría de la Mujer y la Equidad de Género;BB000;La Mujer y Equidad de Género;Región Metropolitana de Santiago;SANTIAGO;Catedral N 1401 Santiago de Chile;+56 225 196 400;https://www.minmujeryeg.gob.cl;https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=BB001;Lunes a Viernes de 09:00 a 14:00 hrs.;Paulina Andrea Vilches Vásquez;transparencia@minmujeryeg.gob.cl;;;;;http://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=9cdfdce4aeca1023601f55486a6a8997;;Ingresa;SÍ;NO;NO;SÍ;2018/08/14
199;AM004;860;Dirección de Aeropuertos (DAP);AM000;Obras Públicas;Región Metropolitana de Santiago;SANTIAGO;Morandé 59;56 2 2449 3553;http://www.aeropuertos.gov.cl;http://esp.aeropuertos.gov.cl/transparencia/index.html;Lunes a Jueves 09:00 a 18:00 horas y Viernes 09:00 a 17:00 horas;JORGE ORELLANA;DAP.atencionciudadana@mop.gov.cl;;;;;http://www.mop.cl/atencion;;Ingresa;SÍ;NO;SÍ;SÍ;2018/10/17
200;AM005;861;Dirección de Arquitectura (DARQ);AM000;Obras Públicas;Región Metropolitana de Santiago;SANTIAGO;Morandé 59;56 2 2449 3717;http://www.arquitecturamop.cl;http://transparencia.arquitecturamop.cl/;Lunes a Jueves 09:00 a 18:00 horas y Viernes 09:00 a 17:00 horas;JULIA SAAVEDRA;darq.atencionciudadana@mop.gov.cl;;;;;http://www.mop.cl/atencion;;Ingresa;SÍ;NO;SÍ;SÍ;2018/08/14
201;BC003;329352;Servicio Nacional del Patrimonio Cultural;BC000;Culturas y las Artes;Región Metropolitana de Santiago;SANTIAGO;Avenida Libertador Bernardo OHiggins N651 Santiago;227261818;http://www.dibam.cl;http://www.dibam.cl/transparencia/;Online 24 horas. Presencial lunes a jueves de 09.00 a 18.00 horas y viernes de 09.00 a 17.00 horas.;;Transparencia.institucional@dibam.cl;;;;;http://contacto.dibam.cl/?tipoF=t;;Ingresa;SÍ;NO;SÍ;SÍ;2019/06/10
202;AB002;961;Subsecretaría de Desarrollo Regional (SUBDERE);AB000;Interior y Seguridad Pública;Región Metropolitana de Santiago;SANTIAGO;Teatinos N92 Piso 2 y 3.;26363600;http://www.subdere.cl/;http://www.subdere.gov.cl/transparencia/ley20285/index.html;Lunes a Viernes desde las 09:00 hasta las 16:00 horas.;Sandra Rojas;unidad.transparencia@subdere.gov.cl;;;;;http://www.subdere.gov.cl/transparencia/ley20285/solicitud_informacion.html;;Ingresa;SÍ;NO;NO;SÍ;2018/06/14
203;AO009;866;Servicio de Salud Metropolitano Occidente;AO000;Salud;Región Metropolitana de Santiago;SANTIAGO;Alameda Bernardo OHiggins 2429;225740900;http://ssmoc.redsalud.gob.cl/;http://webhosting.redsalud.gov.cl/transparencia/?id=SSMOC;Lunes a jueves de 08:30 a 17:30 horas Viernes de 08:30 a 16:30 horas;Carmen Gloria Danyau;salud.occidente@redsalud.gov.cl;;;;;http://webhosting.redsalud.gov.cl/transparencia/public/ssmetrooccidente/solicitud_informacion%20(3).html;;Ingresa;SÍ;NO;NO;SÍ;2018/01/23
204;PP053;329750;Partido Izquierda Anticapitalista de los Trabajadores (IAT);PP000;Partidos Políticos;Región Metropolitana de Santiago;SANTIAGO;Gaspar Cabrales 1477;+56983313936;https://iatchile.wordpress.com/;https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=PP053;martes y jueves 18:00 a 20:00 horas;;dn.iat.chile@gmail.com;;;;;http://;;No ingresa;SÍ;NO;NO;SÍ;2019/02/05
205;AO007;864;Servicio de Salud Metropolitano Central;AO000;Salud;Región Metropolitana de Santiago;SANTIAGO;Victoria Subercaseaux 381;56 2 25747036;http://www.ssmc.cl/;http://webhosting.redsalud.gov.cl/transparencia/?id=SSMC.;Lunes a Jueves de 08:30 a 17:30 hrs. y los días Viernes de 08:30 a 16:30 hrs.;Armando Senn;armando.senn@redsalud.gov.cl;;;;;http://webhosting.redsalud.gov.cl/transparencia/public/ssmetrocentral/solicitud_informacion.html;;Ingresa;SÍ;NO;NO;SÍ;2018/01/18
206;EP028;326850;Casa de Moneda de Chile;EP000;Empresas y Sociedades;Región Metropolitana de Santiago;SANTIAGO;Avenida Portales 3586 Estación Central;+56 2 2598 5100;http://www.cmoneda.cl/;http://www.cmoneda.cl/gobierno-transparente/;;;soporte@casamoneda.cl;;;;;http://www.cmoneda.cl/gobierno-transparente/;;No ingresa;NO;NO;NO;NO;
207;AC007;330051;Subsecretaría de Relaciones Económicas Internacionales;AC000;Relaciones Exteriores;Región Metropolitana de Santiago;SANTIAGO;San Martín # 88 piso 1;(562) 28275100;https://www.subrei.cl/;https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=AC007;Lunes a Jueves 09:30 a 13:00 y de 15:00 a 18:00 y Viernes 09:30 a 13:00 y de 15:00 a 17:00;Sistema de Atención Ciudadana y Transparencia;ayudatransparencia@subrei.gob.cl;;;;;https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=4f30c17c9ba44e1aa2016b5cf50fcad0;;Ingresa;SÍ;NO;NO;SÍ;2019/07/01
208;AO075;853;Hospital San Juan de Dios;AO000;Salud;Región Metropolitana de Santiago;SANTIAGO;Chacabuco 430;225742304;http://www.hsjd.cl;http://transparencia.redsalud.gov.cl/transparencia/index.php?id=AO075;Lunes a jueves entre las 8.30 y 17.00 horas Viernes entre 8.30 y 15.00 horas;Marcela Cortés Beltrán;transparencia.hsjd@redsalud.gov.cl;;;;;http://www.hsjd.cl//ley%20transparencia/IntruccionNro10/solicitud_informacion.html;;Ingresa;SÍ;NO;NO;SÍ;2018/02/16
209;AY001;1073;Instituto Nacional de Propiedad Industrial (INAPI);AH000;Economía Fomento y Turismo;Región Metropolitana de Santiago;SANTIAGO;Avenida Libertador Bernardo OHiggins N 194 Santiago;(56 2) 28870400;http://www.inapi.cl/portal/institucional/600/w3-channel.html;http://www.inapi.cl/transparencia/index.html;Lunes a Jueves: 8:30 a 13:00_ 15:00 a 17:30 Viernes: 8:30 a 13:00_ 15:00 a 16:30;Daniella Fuentes Castillo;transparencia@inapi.cl;;;;;http://inapi.transparencia.cl/tramites/disponibles;(56 2) 28870401;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
210;PP051;329151;Partido MAS Región;PP000;Partidos Políticos;Región Metropolitana de Santiago;SANTIAGO;Padre Alonso de Ovalle n. 726;22 632 3342;http://www.masregion.cl;http://;Lunes a viernes: 09:30 a 18:00 horas;;;;;;;http://;;No ingresa;SÍ;NO;NO;SÍ;
211;AD006;835;Ejército de Chile;AD000;Defensa Nacional;Región Metropolitana de Santiago;SANTIAGO;Avenida Tupper N 1725 Santiago;22693227122693228522693294226932274;http://www.ejercito.cl;https://www.portaltransparencia.cl/PortalPdT/pdtta/-/ta/AD006;De lunes a Viernes de 09:00 a 12:30 Hrs.;ANDRÉS NOGUEIRA ESPINOZA  Coronel Jefe del Departamento de Transparencia y Lobby del Ejército;transparencia@ejercito.cl;;;;;http://ejercito.transparencia.cl;;Ingresa;SÍ;NO;NO;SÍ;2018/10/19
212;AO004;1051;Fondo Nacional de Salud (FONASA);AO000;Salud;Región Metropolitana de Santiago;SANTIAGO;Monjitas N 665;257766642;https://www.fonasa.cl/site/edic/base/port/asegurados.html;http://www.fonasa.cl/portal_fonasa/stat/transparencia/www.fonasa.cl/wps/wcm/connect/Transparencia/SA-Transparencia.html;;Eugenio Toledo Guala;etoledo@fonasa.cl;;;;;http://fonasa.transparencia.cl/tramites/disponibles;;Ingresa;SÍ;NO;NO;SÍ;2018/01/17
213;AE001;839;Subsecretaría de Hacienda;AE000;Hacienda;Región Metropolitana de Santiago;SANTIAGO;Teatinos 120;56 2 2828 2089;http://www.hacienda.cl;http://www.hacienda.cl/transparencia;;Oscar Escobar;sac@hacienda.gov.cl;;;;;http://www.hacienda.cl/transparencia/sac.html;;Ingresa;SÍ;NO;SÍ;SÍ;2018/01/01
214;PP025;326601;Partido Socialista de Chile PS;PP000;Partidos Políticos;Región Metropolitana de Santiago;SANTIAGO;Paris 873;225499902;http://www.pschile.cl;http://;Lunes a Viernes 10:00 a 18:00 horas;Pablo Velozo Alcaide;secreatariageneral@pschile.cl;;;;;http://;;No ingresa;NO;NO;NO;SÍ;2018/01/01
215;AK005;1022;Defensoría Penal Pública (DPP);AK000;Justicia;Región Metropolitana de Santiago;SANTIAGO;Av. Bernardo OHiggins  1449 Torre 1 piso 5 of  501;(56) 2 2 439 68 70;http://www.dpp.cl;http://www.dpp.cl/transparencia;Lunes a viDe Lunes a Viernes de 09:00 a 18:00 hrs.ernes: 09:00  14:00 y 15:00 18:00 hrs.;ALVARO PAREDES;transparencia@dpp.cl;;;;;http://dpp.transparencia.cl/tramites/disponibles;;Ingresa;SÍ;NO;NO;SÍ;2018/01/15
216;AL002;859;Subsecretaría de Previsión Social (SPS);AL000;Trabajo y Previsión Social;Región Metropolitana de Santiago;SANTIAGO;Huérfanos 1273 Santiago.;228279  600;http://www.previsionsocial.gob.cl;http://www.previsionsocial.gob.cl/transparenciaactiva/;Lunes a jueves 09:00 a 14:00 y de 15:00 a 17:30 hrs. Viernes de 09:00 a 14:00 y de 15:00 a 16:30 hrs.;;transparenciapasiva@previsionsocial.gob.cl;;;;;http://www.previsionsocial.gob.cl/transparenciaactiva/solicitudes/solicitud_info_ley_transparencia.html;;Ingresa;SÍ;NO;NO;SÍ;2018/08/14
217;BC002;329351;Subsecretaría del Patrimonio Cultural;BC000;Culturas y las Artes;Región Metropolitana de Santiago;SANTIAGO;Alameda 651 segundo piso;223605271;http://www.cultura.gob.cl/;https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=BC002;;;nicolas.cordova@cultura.gob.cl;;;;;https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=c6f36f5ad930d3a52aa548e7c895c042;;Ingresa;SÍ;NO;NO;SÍ;2018/10/29
218;UN011;1088;Universidad Metropolitana de Ciencias de la Educación (UMCE);UN000;Universidades;Región Metropolitana de Santiago;SANTIAGO;AV. JOSE PEDRO ALESSANDRI 774  SANTIAGO;222412676222412677;http://www.umce.cl/;http://www.umce.cl/transparenciaactiva;De Lunes a Jueves : 08:30 a 17:30 hrs. Viernes : 08:30 a 16:30 hrs.;Pamela Herrera Nuñez;transparencia@umce.cl;;;;;http://www.umce.cl/tpsolicitudinformacion;;Ingresa;SÍ;NO;NO;NO;
219;AD016;983;Dirección de Previsión de Carabineros de Chile (DIPRECA);AB000;Interior y Seguridad Pública;Región Metropolitana de Santiago;SANTIAGO;21 de Mayo N 592;2951750829517631;http://www.dipreca.cl/;http://www.dipreca.cl/virtual/TRANSPARENCIA/index.html;Lunes a Viernes de 9:00 a 14:00 hrs.;FABIOLA ROJAS ESCOBAR;leydetransparencia@dipreca.cl;;;;;http://;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
220;AE012;994;Superintendencia de Casinos de Juego (SCJ);AE000;Hacienda;Región Metropolitana de Santiago;SANTIAGO;Morandé 360 piso 11 Santiago.;(56 2) 2589 3080;http://www.scj.cl;http://www.scj.cl/transparencia/index.html;De lunes a jueves de 9:30 a 13:00 y de 15:00 a 17:30 hrs y los viernes de 9:30 a 13:00 y de 15:00 a 16:30 hrs.;Carlos Fernández;leydeacceso@scj.gob.cl;;;;;http://scj.transparencia.cl/tramites/disponibles;;Ingresa;SÍ;NO;NO;SÍ;2018/01/01
221;AO070;908;Hospital San Borja Arriarán;AO000;Salud;Región Metropolitana de Santiago;SANTIAGO;Santa Rosa 1234;56 2 2574 9279;http://www.hcsba.cl;http://webhosting.redsalud.gov.cl/transparencia/?id=AO070;Lunes a Viernes 08 a 16;Luis Esquivel;luis.esquivel@redsalud.gob.cl;;;;;http://webhosting.redsalud.gov.cl/transparencia/?id=AO070;;Ingresa;SÍ;NO;NO;SÍ;2018/02/14
222;AH011;845;Subsecretaría de Turismo;AH000;Economía Fomento y Turismo;Región Metropolitana de Santiago;SANTIAGO;Avda. Libertador Bernardo OHiggins 1449 piso 1 local 7 torre 2;(56 2) 2 4733629;http://www.subturismo.gob.cl;http://www.economia.cl/transparencia/turismo/index.html;Lunes a Jueves: 09:00 hrs. a 17:00 hrs  Viernes: 09:00 hrs. a 16:00 hrs.;María Josefina Hubner;transparenciapasiva@subturismo.gob.cl;;;;;http://www.economia.cl/transparencia/turismo/solicitud_informacion.html;;Ingresa;SÍ;NO;NO;SÍ;2018/09/24
223;AD007;836;Armada de Chile;AD000;Defensa Nacional;Región Metropolitana de Santiago;SANTIAGO;Alameda 1170 Piso 8;56 227405307  56 227405949  56 227405928;http://www.armada.cl/;http://www.transparencia-armada.cl/;Lunes a Viernes  09.00 a 12:30 y de 14:00 a 16:30;Alberto Meyer Peirano;informaciones@transparencia-armada.cl;;;;;http://www.transparencia-armada.cl/transparencia_activa/IG10/solicitud_informacion.html;;Ingresa;SÍ;NO;NO;SÍ;2018/11/27
224;AI003;1008;Servicio Nacional de Discapacidad (SENADIS);AI000;Desarrollo Social;Región Metropolitana de Santiago;SANTIAGO;Calle Catedral 1575 Santiago;(+56 2) 2387 3900;http://www.senadis.gob.cl/;http://www.senadis.gob.cl/transparencia/;De lunes a jueves de 9:00 a 18:00 hrs. viernes hasta las 17:00 hrs.;Richard Montecinos Veloso;transparencia@senadis.cl;;;;;http://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdto;;Ingresa;SÍ;NO;NO;SÍ;
225;AQ001;957;Subsecretaría de Bienes Nacionales;AQ000;Bienes Nacionales;Región Metropolitana de Santiago;SANTIAGO;Av. Libertador Bernardo OHiggins 720;56 2 2937 5111;http://www.bienesnacionales.cl/;http://old.bienes.cl/transparencia/index.html;Lunes a viernes: 09:00 a 17:30;KAREN MADRID;smedinav@mbienes.cl;;;;;http://old.bienes.cl/transparencia/solicitud_informacion.html;;Ingresa;SÍ;NO;SÍ;SÍ;2018/07/17
226;AB005;759;Servicio de Gobierno Interior;AB000;Interior y Seguridad Pública;Región Metropolitana de Santiago;SANTIAGO;Agustinas 1350;56 2 2690 4209;http://www.gobiernointerior.gov.cl/vision.html;http://www.interior.gob.cl/transparenciaactiva/index_sgi.html;;ALICIA CEBRIAN;acebrian@interior.gov.cl;;;;;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;;No ingresa;SÍ;NO;NO;NO;
227;PP033;328253;Partido Amplitud;PP000;Partidos Políticos;Región Metropolitana de Santiago;SANTIAGO;Avda. Bernardo OHiggins 1370 Oficina 702;+562 26994978;http://www.amplitud-chile.cl;https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=PP033;;;contacto@amplitud-chile.cl;;;;;http://;;No ingresa;NO;NO;NO;SÍ;2018/01/01
228;AD015;982;Caja de Previsión de la Defensa Nacional (CAPREDENA);AD000;Defensa Nacional;Región Metropolitana de Santiago;SANTIAGO;Paseo Bulnes N 102 Santiago;56(02)28306901   56(02)28306659;http://www.capredena.gob.cl/;http://www.capredena.cl/transparencia/index.html;Lunes a Viernes de 09:00 a 14:00 hrs.;Mariel Zamorano Ramirez;transparencia@capredena.gob.cl;;;;;https://www.capredena.cl/CRM/frm_BienvenidoSIAC.aspx;56(02) 24489804;Ingresa;SÍ;NO;NO;SÍ;2018/08/14
229;AM013;862;Fiscalía MOP;AM000;Obras Públicas;Región Metropolitana de Santiago;SANTIAGO;Morandé 59;56 2 2449 4309;http://fiscalia.mop.cl;http://transparencia.mop.cl/fiscalia/index.html;Lunes a Jueves de 9 a 17.30 horas y Viernes de 9:30 a 16 horas;ANDREA VÉLIZ;fiscalia.atencionciudadana@mop.gov.cl;;;;;http://www.mop.cl/atencion;;Ingresa;SÍ;NO;SÍ;SÍ;2018/08/16
230;AI004;1009;Fondo de Solidaridad e Inversión Social (FOSIS);AI000;Desarrollo Social;Región Metropolitana de Santiago;SANTIAGO;Merced N 480 piso 5 Santiago Centro;228383572;http://www.fosis.cl/;http://epsilon.fosis.cl/transparenciaactiva/;;JAIME GONZÁLEZ;jgonza@fosis.gob.cl;;;;;http://epsilon.fosis.cl/transparenciaactiva/solicitudinfoley.htm;;Ingresa;SÍ;NO;NO;SÍ;2018/09/20
231;AC003;975;Dirección Nacional de Fronteras y Límites del Estado (DIFROL);AC000;Relaciones Exteriores;Región Metropolitana de Santiago;SANTIAGO;Teatinos 180 piso 7;28275952;http://www.difrol.gob.cl/;http://www.difrol.cl/transparencia/;Lunes a Viernes de 07:00 a 15:00 horas y Sábado Domingo y Festivos de 07:00 a 15:00 horas;Constanza Gallardo;infodifrol@minrel.gov.cl;;;;;http://www.difrol.gob.cl/transparencia/solicitud_informacion.html;;Ingresa;SÍ;NO;NO;SÍ;
232;AJ012;58880;Agencia de Calidad de la Educación;AJ000;Educación;Región Metropolitana de Santiago;SANTIAGO;Dirección Morandé 360 piso 9.;6006002626;http://www.agenciaeducacion.cl/;http://gobiernotransparente.agce.cl/;Lunes a jueves de 09:00 a 18:00 y viernes de 09:00 a 17:00;;transparencia@agenciaeducacion.cl;;;;;http://gobiernotransparente.agce.cl/formulario_transparencia_pasiva.html;;Ingresa;SÍ;NO;NO;SÍ;2018/08/16
233;AM010;1043;Dirección de Vialidad (VIALIDAD);AM000;Obras Públicas;Región Metropolitana de Santiago;SANTIAGO;Morandé 59;56 2 2449 5585;http://www.vialidad.cl;http://servicios.vialidad.cl/transparencia/;Lunes a Jueves de 9.30 a 17 horas y Viernes de 9.30 a 16 horas;ANDRÉS UGARTE;vialidad.atencionciudadana@mop.gov.cl;;;;;http://www.mop.cl/atencion;;Ingresa;SÍ;NO;SÍ;SÍ;2018/09/14
234;FU006;56200;Fundación de las Familias;FU000;Fundaciones y corporaciones;Región Metropolitana de Santiago;SANTIAGO;Santo Domingo Nº 689 Piso 2 Santiago.;226075300;http://www.fundaciondelasfamilias.cl;http://transparencia.fundaciondelafamilia.cl/activa/;Días y horarios en conformidad a lo publicado en link http:transparencia.fundaciondelafamilia.clactivaoficinas_atencion.html;;transparencia@fundaciondelasfamilias.cl;;;;;http://transparencia.fundaciondelafamilia.cl/activa/solicitud_informacion.html;;Ingresa;SÍ;NO;NO;NO;
235;AJ011;58650;Superintendencia de Educación;AJ000;Educación;Región Metropolitana de Santiago;SANTIAGO;Morandé 115 Piso 10.;56232431000;http://www.supereduc.cl;http://transparencia.supereduc.cl/iris_gplus/Transparencia/indexa.jsp;Lunes a viernes de 9:00 a 17:30;;soporte.transparencia@supereduc.cl;;;;;http://gobta.supereduc.cl/solicitud_informacion.html;;Ingresa;SÍ;NO;NO;SÍ;2019/09/06
